narrative_id,first_seen,last_seen,windows_present,unique_posts,total_sentences,Dominant,Emerging,Weak,narrative_tier,narrative_title
108,2024-01-06 14:51:56,2024-04-21 23:41:42,97,1016,6076,1,0,2,Dominant,Hamas attacks and Israeli retaliation — Jan 2024 to Apr 2024
3,2023-10-06 20:17:48,2024-01-01 14:14:47,87,1304,10004,1,0,2,Dominant,Hamas attacks and Israeli retaliation — Oct 2023 to Jan 2024
148,2024-02-20 18:24:28,2024-03-15 03:37:32,19,42,106,0,2,1,Emerging,Biden policy on Israel and Gaza — Feb 2024 to Mar 2024
98,2023-12-24 06:07:48,2024-01-11 12:01:19,17,89,484,0,1,1,Emerging,Israeli military operations in Gaza — Dec 2023 to Jan 2024
181,2024-03-25 16:26:28,2024-04-07 16:08:21,12,38,102,0,1,1,Emerging,Biden policy on Israel and Gaza — Mar 2024 to Apr 2024
93,2023-12-18 16:23:17,2023-12-29 19:11:10,10,39,84,0,0,2,Weak,Debate over Israel Palestine war — Dec 2023
199,2024-04-13 15:46:10,2024-04-21 13:22:36,8,61,197,0,1,1,Emerging,Israeli strikes and military escalation — Apr 2024
97,2023-12-23 16:08:30,2023-12-31 09:02:24,8,35,82,0,1,2,Emerging,Debate over Palestinian state and rights — Dec 2023
126,2024-02-02 20:38:24,2024-02-15 03:25:27,7,25,67,0,0,4,Weak,Civilian casualties and humanitarian toll — Feb 2024
1,2023-10-07 08:13:25,2023-10-14 07:51:53,6,37,63,0,0,2,Weak,Israeli strikes and military escalation — Oct 2023
124,2024-02-03 17:26:23,2024-02-08 12:33:48,5,16,58,0,0,2,Weak,Antisemitism and anti-Zionism debate — Feb 2024
219,2024-04-19 02:54:16,2024-04-22 10:14:09,4,26,66,0,0,2,Weak,Debate over Palestinian state and rights — Apr 2024
